# 163
# time lon lat ele hdop vdop speed direction journey journey3
1494415710.000000 113.89734852 22.95131393 23.53962708 2.39143324 1.46472502 2.90242696 0.00293641 75.46416168 75.53308063
1494415711.000000 113.89737628 22.95131472 23.49329758 2.61702299 1.41114306 2.89980197 -0.00050318 78.31200884 78.38130461
1494415712.000000 113.89740323 22.95131216 23.46534538 2.69780803 1.36380935 2.91236758 -0.03340254 81.09018797 81.15962436
1494415713.000000 113.89743134 22.95130985 23.42349434 2.72082853 1.32152927 2.91585660 -0.03586888 83.98491228 84.05465119
1494415714.000000 113.89746089 22.95130785 23.38168526 2.72519660 1.28342652 0.00000000 -0.03739033 87.02409347 87.09411994
1494415718.000000 113.89756903 22.95127002 23.25580025 7.53096485 3.22378922 1.91393971 -0.85451460 98.87868869 98.94938354
1494415719.000000 113.89758321 22.95125895 23.23911858 5.04888439 3.21823597 1.75838423 -0.86645138 100.78135869 100.85212666
1494415720.000000 113.89759545 22.95124667 23.20302200 3.80599904 3.10006070 1.60621417 -0.89016104 102.63229982 102.70341973
1494415721.000000 113.89760452 22.95123261 23.15620041 3.25066638 2.86625409 1.60995817 -0.91129041 104.44575916 104.51748341
1494415722.000000 113.89761224 22.95122081 23.10932922 2.95127416 2.60442281 1.58692062 -0.92474169 105.97368237 106.04612537
1494415723.000000 113.89761956 22.95121069 23.06241989 2.77443409 2.37687564 1.55544710 -0.93082833 107.32211559 107.39537429
1494415724.000000 113.89762665 22.95120086 23.01549911 2.69134927 2.18948722 0.00000000 -0.93517178 108.63152219 108.70562129
1494415840.000000 113.89761762 22.95126656 22.28936005 14.60370731 4.77823019 1.59879076 1.41942978 115.96523418 116.07519451
1494415842.000000 113.89762463 22.95129029 22.87754059 4.11806965 3.30700922 1.98179722 1.45607674 118.69009521 118.86281428
1494415843.000000 113.89762694 22.95130721 23.22600365 3.42476273 2.86917114 2.13313818 1.42189658 120.57880647 120.78340188
1494415844.000000 113.89762852 22.95132700 23.60975456 3.50325918 2.59767938 2.29520631 1.48147368 122.77633981 123.01419043
1494415845.000000 113.89763002 22.95134826 23.99787712 3.37753010 2.41101980 2.39732337 1.50741875 125.13582574 125.40538531
1494415846.000000 113.89763185 22.95137160 24.45585251 1.72546029 2.24389434 2.59000278 1.48004639 127.72723554 128.03695257
1494415847.000000 113.89763786 22.95139879 24.93492508 1.69628453 2.08885908 2.68295407 1.47574568 130.80157045 131.14839044
1494415848.000000 113.89763423 22.95143020 25.40991402 1.68198478 1.95923793 2.75820589 1.50225127 134.30006051 134.67897781
1494415849.000000 113.89763603 22.95146276 25.91927719 2.27976060 1.85634613 2.74777699 1.49009085 137.91029940 138.32497229
1494415850.000000 113.89764233 22.95149295 26.43170166 1.64051640 1.76540780 2.68800211 1.45332074 141.31495426 141.76797295
1494415851.000000 113.89764546 22.95151091 26.94514847 2.26649880 1.67361522 2.55394292 1.43329215 143.33035001 143.84774401
1494415852.000000 113.89765002 22.95152736 27.42490959 2.63807058 1.59588647 2.45232582 1.41517103 145.21141502 145.78902613
1494415853.000000 113.89765645 22.95154271 27.91375351 2.79812789 1.53330266 2.32246375 1.37232411 147.03402153 147.67605101
1494415854.000000 113.89766307 22.95155997 28.39134789 2.85284877 1.47722995 2.32182789 1.37187934 149.06247022 149.75996571
1494415855.000000 113.89766831 22.95157967 28.86887741 3.36016297 1.42671132 0.00000000 1.37169921 151.31000403 152.05766949
1494415864.000000 113.89791355 22.95161271 33.00792694 8.07907200 3.30941701 4.92410040 -0.18324600 176.72606448 177.80855025
1494415865.000000 113.89795979 22.95160516 33.34667206 8.87107182 3.28788805 5.62084055 -0.27309689 181.54142074 182.63580663
1494415866.000000 113.89801163 22.95159260 33.79947662 7.43850708 3.19111896 5.20073271 -0.22638689 187.03728305 188.15029069
1494415867.000000 113.89805982 22.95158320 34.24168015 6.36106777 2.93322754 4.76465130 -0.17449707 192.08781103 193.22014048
1494415868.000000 113.89810585 22.95157597 34.65588760 3.76185060 2.66392016 4.49270535 -0.12512825 196.87573982 198.02595258
1494415869.000000 113.89815200 22.95156811 35.08269119 3.28562617 2.41952085 4.47433567 -0.12256234 201.68796871 202.85707131
1494415870.000000 113.89819004 22.95156791 35.50934982 3.08471632 2.22485328 4.38001633 -0.10578837 205.58929392 206.78165740
1494415871.000000 113.89822635 22.95156918 35.93593597 2.71958303 2.06718230 4.29609680 -0.09012041 209.31595152 210.53265094
1494415872.000000 113.89826361 22.95157036 36.36253357 0.51271653 1.63454473 0.00000000 -0.07895089 213.13966401 214.38008681
1494415993.000000 113.89832320 22.95154594 33.36802292 7.66289568 3.37397718 2.28599548 1.25350249 219.82304381 221.70365558
1494415994.000000 113.89833166 22.95156495 33.28534698 6.00720119 3.33916259 2.28916097 1.39511657 222.10018481 223.98229694
1494415995.000000 113.89833602 22.95158512 33.19839096 4.62501335 3.25731301 2.28696251 1.49591923 224.37797632 226.26174765
1494415996.000000 113.89833484 22.95160673 33.13401413 4.60480785 3.00848985 2.34479165 1.57485092 226.77451833 228.65915416
1494415997.000000 113.89833044 22.95162943 33.10161209 4.29603767 2.75486898 2.43213320 1.64996612 229.32875359 231.21359493
1494415998.000000 113.89832345 22.95165349 33.07164764 4.00870132 2.52466202 2.54914308 1.71393955 232.08788799 233.97289203
1494415999.000000 113.89831543 22.95167905 33.03548050 3.79052877 2.33089757 2.67183352 1.74895453 235.03493442 236.92016038
1494416000.000000 113.89830747 22.95171056 32.99069214 3.98782396 2.16989827 2.93573737 1.75049281 238.61853263 240.50403847
1494416001.000000 113.89829983 22.95173914 32.93702316 4.04801702 2.02744889 2.99203777 1.73649883 241.87977197 243.76571939
1494416002.000000 113.89829222 22.95176846 32.90544891 4.04093599 1.90992296 3.05476999 1.70468330 245.21863595 247.10473265
1494416003.000000 113.89828694 22.95179865 32.87885284 3.95246744 1.81078410 3.10074663 1.68794084 248.60542507 250.49162620
1494416004.000000 113.89828332 22.95182931 32.87063217 1.79624081 1.71479952 3.15393710 1.69553256 252.02115009 253.90736111
1494416005.000000 113.89828729 22.95185857 32.87821960 1.76924825 1.62448049 3.16020370 1.67502022 255.28725822 257.17347806
1494416006.000000 113.89829427 22.95188923 32.84513474 1.76795208 1.54991627 3.18944311 1.65723765 258.75710941 260.64348697
1494416007.000000 113.89829212 22.95191815 32.77668762 1.76525271 1.48661411 3.22818708 1.68458796 261.96802745 263.85513447
1494416008.000000 113.89827952 22.95194764 32.66470718 1.81119537 1.43174982 3.32995200 1.79060197 265.47954745 267.36843952
1494416009.000000 113.89826747 22.95197647 32.37120819 1.81234205 1.38344538 3.38659024 1.86799109 268.90272249 270.80417364
1494416010.000000 113.89824182 22.95200647 32.18121338 2.50277805 1.34039390 3.42749572 1.97818553 273.14072152 275.04642939
1494416011.000000 113.89821246 22.95203163 32.05242538 3.00342536 1.30165136 3.32212234 2.13176656 277.24359946 279.15132814
1494416012.000000 113.89818275 22.95205671 31.93888283 2.68395138 1.26651454 3.27237725 2.23404336 281.36611583 283.27540781
1494416013.000000 113.89815238 22.95207423 31.84987831 2.59139752 1.22402465 3.24434733 2.31329489 285.03601423 286.94638535
1494416014.000000 113.89812037 22.95208438 31.76130676 2.56348848 1.18710542 3.19168854 2.39500284 288.50552046 290.41702194
1494416015.000000 113.89808852 22.95209035 31.67297173 1.60030711 1.15456891 3.13709521 2.46654272 291.83916180 293.75183343
1494416016.000000 113.89806013 22.95209104 31.58473206 0.83085644 1.05385697 0.00000000 2.52407289 294.75141781 296.66542594
